SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC05694.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC05695.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC05696.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC05698.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC05701.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC05702.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC05703.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC05704.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC05710.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC05711.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC05718.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC05722.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC05723.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC05735.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC05738.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC05740.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC05742.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC05747.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC05748.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC05749.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC05750.JPG,7008 3944 3504 1972,74.92 m,58.24 m
DSC05751.JPG,7008 3944 3504 1972,74.92 m,58.24 m
DSC05752.JPG,7008 3944 3504 1972,74.92 m,58.24 m
DSC05756.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC05760.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC05761.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC05762.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC05763.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC05765.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC05766.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC05768.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC05771.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC05779.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC05780.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC05781.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC05783.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC05784.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC05798.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC05802.JPG,7008 3944 3504 1972,71.75 m,58.24 m
DSC05803.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC05804.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC05809.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC05810.JPG,7008 3944 3504 1972,71.75 m,58.24 m
DSC05811.JPG,7008 3944 3504 1972,71.75 m,58.24 m
DSC05812.JPG,7008 3944 3504 1972,71.75 m,58.24 m
DSC05814.JPG,7008 3944 3504 1972,71.75 m,58.24 m
DSC05815.JPG,7008 3944 3504 1972,71.75 m,58.24 m
SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC05072.JPG,7008 3944 3504 1972,131.53 m,58.24 m
DSC05105.JPG,7008 3944 2321 2169,inf,6.85 m
DSC05106.JPG,7008 3944 3504 1972,110.62 m,58.24 m
SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC05468.JPG,7008 3944 3504 1972,65.80 m,58.24 m
DSC05469.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC05471.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC05509.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC05510.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC05870.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC05871.JPG,7008 3944 3504 1972,89.09 m,58.24 m
